Maquina,Setor
Balancim de corte hidraulico (a) ponte,Corte Automatico
Balancim de Corte hidraulico Braço (Tecnomaq),Corte Automatico/Apoio/Costura
Maquina de cortar tiras (Baher),Apoio
Maquina de aplicar etiquetas (ERPS),Apoio
Maquina de carimbar cortes pneumatica,Apoio
Maquina de dividir cortes,Apoio
Mesa de serigrafia manual,Serigrafia
Prensa hidropneumatica,Apoio
Prensa de espelhar / estampar cortes,Apoio
Maquina de chanfrar cortes,Apoio/Costura
Estufa vento norte / Puff / flash,Montagem/Pre Solado
Maquina de alta frequência pot. 10kva / 12kva / 15kva / 18kva (Tecnomaq Reltrônica e Fox),Apoio
Maquina de costurar vies Yamato (Overlock 5 fios),Costura
Maquina de costura,Costura
Maquina de costura plana galoneira com 3 agulhas (Overlock 3 fios),Costura
Estufa flash de 1 via (montagem) / Estufa de ar quente 1 via (serigrafia),Montagem/Serigrafia
Maquina de dublar cortes (Tecnomaq),Apoio
Maquina de bordar com 6 cabeças com 9 agulhas (borda special bs 906s),Bordado
Maquina de aplicar hot melt rolo 150 mm / 300 mm / 320 mm.,Costura/Montagem
Maquina de serigrafia automatica,Apoio/Serigrafia
Maquina de aplicar adesivo pneumatica,Costura/Apoio
Estufa de ar de 02 vias,Serigrafia
Maquina de aplicar hot melt spray com acionamento de pedal,Costura/Apoio
Prensa chapa quente pneumatica,Apoio
Chapa quente para reativar,Costura/Apoio
Maquina de rebater costura,Costura/Apoio
Maquina de costura programada,Apoio
Cabine Retifica pneumatica (Retifica),Montagem/Serigrafia/Apoio
Secador vertical (Torre de secagem),Montagem
Soprador termico (Canhão eletrônico),Montagem/Apoio/Pre Solado
Maquina de aplicar raios de UV (Forno de UV Tecnomaq),Montagem/Pre Solado
Maquina de aplicar hot melt automatica Orisol mod. OPS 410B (cola a pó Orisol).,Costura
Lixadeira horizontal de cinta (lixadeira de perfil),Montagem/Pre Solado
Maquina de costura Overlock com 1 agulha,Montagem
Prensa para solado pneumatico (a) com 2 postos (Prensa mosquito a vacuo),Apoio
Estufa a vapor para 2 pares / para 3 pares.,Montagem
Maquina calceira de cola pneumatica (importada ef – 526 mos / Poppi),Montagem
Montar bico poppi e pneumatica,Montagem
Prensa horizontal Tecnomaq 123 (Boca de Sapo),Montagem
Estabilizador a frio Tecnomaq (Climatizador),Montagem
Prensa para solado pneumatico com 2 bocas (Sorveteira),Montagem
Lixadeira vertical de cinta (tupia),Montagem/Pre Solado
Maquina de rebaixar montagem com esferas (Lixadeira Copiadora),Montagem
Maquina de aplicar adesivo pneumatica (Pistola de adesivo).,Apoio
Maquina de costura blaquear com 1 agulha,Montagem/Pre Solado
Maquina de conformar contra forte quente / frio (Tecnomaq),Costura
Maquina de conformar contraforte quente / frio (Sazi),Costura
Maquina de rebater cama de salto,Montagem
Esteira transportadora 1 via / 2 vias/ 3 vias / 4 vias,Montagem/Pre Solado
Maquina de lavar peças em inox (Maquina de lavar sola),Pre Solado
Maquina de lixar / escovar horizontal dupla (Escova de aço),Montagem/Pre Solado
Prensa planta pneumatica (Cama de bico),Montagem
Maquina de Tampografia automatica para 1 par (Igm 4400),Montagem/Pre Solado
Centrifuga para secagem em inox de peças (Maquina de secar sola),Lavagem
Forno conformador,Montagem
Coletor de pó seco,Montagem/Pre Solado
Cabine de pintura com 1 posto com exaustão (Cabine de pintura com cortina dagua),Montagem/Apoio/Pre Solado
Maquina de Corte Automatica Atom Modelo Flexcut,Corte Automatico
Maquina de corte automatico Lectra,Corte Automatico
Maquina de dublar a filme (mecore),Dublagem
Maquina de dublar a fogo (mecore),Dublagem